DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
385164,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,118.96,413.64,18.96,13.64,1990,102244,2419,0,102244,NA,4,4,NA,NA,2006-11-17,17122,MAIN;DEADT,1,NA,dead
385261,luquillo,1,Urticaceae,Cecropia,schreberiana,CECSCH,NA,74,NA,621,326,109.4,410.52,9.4,10.52,2177,102466,114525,0,154442,NA,4,4,NA,NA,2006-11-17,17122,SPROUT;LS,1,NA,stem dead
384600,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,721,327,132.91,415.9,12.91,15.9,797,100889,981,0,100888,NA,4,4,NA,NA,2006-11-21,17126,SPROUT;LS,1,NA,stem dead
608789,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,621,326,116.6,411.58,16.6,11.58,124957,175166,163153,0,175166,NA,6,6,34.6,1.3,2016-07-27,20662,MAIN;A,1,NA,alive
388579,luquillo,1,Arecaceae,Prestoea,acuminata,PREMON,NA,182,NA,622,342,112.55,423.62,12.55,3.62,84880,110271,103483,0,110271,NA,4,4,171,1.3,2006-11-17,17122,MAIN;A,1,NA,alive
384626,luquillo,1,Araliaceae,Schefflera,morototoni,SCHMOR,NA,196,NA,721,327,133.87,419.88,13.87,19.88,862,100964,1068,0,100964,NA,4,4,NA,NA,2006-11-21,17126,MAIN;DEADT,1,NA,dead
410958,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,721,327,139.84,406.38,19.84,6.38,108712,154949,143443,0,154949,NA,4,4,NA,NA,2006-11-22,17127,MAIN;DEADT,1,NA,dead
385102,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,621,326,103.95,410.91,3.95,10.91,1848,102088,2248,0,102088,NA,4,4,NA,NA,2006-11-16,17121,MAIN;DEADT,1,NA,dead
353163,luquillo,1,Arecaceae,Prestoea,acuminata,PREMON,NA,182,NA,722,343,124.52,422.68,4.52,2.68,26708,17576,33769,0,17576,NA,4,4,163,1.35,2006-11-20,17125,MAIN;A,1,NA,alive
481018,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,622,342,114.61,439.56,14.61,19.56,109413,156180,144222,0,156180,NA,5,5,36.2,1.3,2012-01-31,19023,MAIN;A,1,NA,alive
388209,luquillo,1,Rubiaceae,Psychotria,berteroana,PSYBER,NA,184,NA,722,343,124.2,422.28,4.2,2.28,7948,109354,9900,0,109354,NA,4,4,NA,NA,2006-11-20,17125,MAIN;DEADT,1,NA,dead
395113,luquillo,1,Fabaceae-mimosoideae,Inga,laurina,INGLAU,NA,128,NA,721,327,132.96,412.58,12.96,12.58,85900,127537,104582,0,127537,NA,4,4,32,1.3,2006-11-21,17126,MAIN;A,1,NA,alive
481011,luquillo,1,Lauraceae,Ocotea,leucoxylon,OCOLEU,NA,161,NA,622,342,113.35,428.78,13.35,8.78,109404,156148,144212,0,156148,NA,5,5,NA,NA,2012-01-31,19023,MAIN;A;LS;B,1,NA,broken below
388600,luquillo,1,Elaeocarpaceae,Sloanea,berteroana,SLOBER,NA,198,NA,622,342,100.55,428.35,0.55,8.35,8720,110304,10942,0,110306,NA,4,4,59,1.3,2006-11-17,17122,SPROUT;A,1,NA,alive
611679,luquillo,1,Salicaceae,Casearia,arborea,CASARB,NA,70,NA,722,343,137.66,433.5,17.66,13.5,109504,156351,144321,0,156351,NA,6,6,NA,NA,2016-08-16,20682,MAIN;DEADT;ST,1,NA,dead
467128,luquillo,1,Arecaceae,Prestoea,acuminata,PREMON,NA,182,NA,621,326,104.6,409.67,4.6,9.67,84796,102507,103399,0,102507,NA,5,5,172,1.3,2012-01-30,19022,MAIN;A,1,NA,alive
480517,luquillo,1,Araliaceae,Schefflera,morototoni,SCHMOR,NA,196,NA,621,326,109,404.05,9,4.05,108371,154476,143034,0,154476,NA,5,5,45.3,1.3,2012-01-30,19022,MAIN;A,1,NA,alive
608670,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,100.71,403.51,0.71,3.51,2197,102490,2693,0,102490,NA,6,6,NA,NA,2016-07-21,20656,MAIN;DEADT;B,1,NA,dead
